Fecha,Hora,Megabytes Normal,Megabytes Picos
2023-09-12,16:16:07,1.64,1.85
2023-09-12,16:17:19,1.64,1.85
2023-09-12,16:18:30,1.64,1.85
2023-09-12,16:19:19,1.64,1.85
2023-09-12,16:20:03,1.64,1.85
2023-09-12,16:20:26,1.64,1.85
2023-09-12,16:20:57,1.64,1.85
2023-09-12,16:21:08,1.64,1.85
2023-09-12,16:21:19,1.64,1.85
2023-09-12,16:23:23,1.64,1.85
2023-09-12,16:23:37,1.64,1.85
2023-09-12,16:24:08,1.64,1.85
2023-09-12,16:24:38,1.64,1.85
2023-09-12,16:24:57,1.64,1.85
2023-09-12,16:25:08,1.64,1.85
2023-09-12,16:25:24,1.64,1.85
2023-09-12,16:26:27,1.64,1.85
2023-09-12,16:26:36,1.64,1.85
2023-09-12,16:26:52,1.64,1.85
2023-09-12,16:27:28,1.64,1.85
2023-09-12,16:27:49,1.64,1.85
2023-09-12,16:28:46,1.64,1.85
2023-09-12,16:29:24,1.64,1.85
2023-09-12,16:29:37,1.64,1.85
2023-09-12,16:30:07,1.64,1.85
2023-09-12,16:30:17,1.64,1.85
2023-09-12,16:31:11,1.64,1.85
2023-09-12,16:31:35,1.64,1.85
2023-09-12,16:31:54,1.64,1.85
2023-09-12,16:32:31,1.64,1.85
2023-09-12,16:32:55,1.64,1.85
2023-09-12,16:33:22,1.64,1.85
2023-09-12,16:34:01,1.64,1.85
2023-09-12,16:34:30,1.64,1.85
2023-09-12,16:35:25,1.64,1.85
2023-09-12,16:49:09,1.64,1.85
2023-09-12,16:49:35,1.64,1.85
2023-09-12,16:49:54,1.64,1.85
2023-09-12,16:50:07,1.64,1.85
2023-09-12,16:50:23,1.64,1.85
2023-09-12,16:50:51,1.64,1.85
2023-09-12,16:51:49,1.64,1.85
2023-09-12,16:52:03,1.64,1.85
2023-09-12,16:52:11,1.64,1.85
2023-09-12,16:53:12,1.64,1.85
2023-09-12,16:54:05,1.64,1.85
2023-09-12,16:54:29,1.64,1.85
2023-09-12,16:54:48,1.64,1.85
2023-09-12,16:55:18,1.64,1.85
2023-09-12,16:55:39,1.64,1.85
2023-09-12,16:56:18,1.64,1.85
2023-09-12,16:56:32,1.64,1.85
2023-09-12,16:57:03,1.64,1.85
2023-09-12,16:57:15,1.64,1.85
2023-09-12,16:57:25,1.64,1.85
2023-09-12,16:57:31,1.64,1.85
2023-09-12,16:57:37,1.23,2.17
2023-09-12,16:57:50,1.64,1.85
2023-09-12,16:59:18,1.64,1.85
2023-09-12,17:02:09,1.64,1.85
2023-09-12,17:02:47,1.23,2.17
2023-09-12,17:11:13,1.65,1.85
2023-09-12,17:13:13,1.65,1.85
2023-09-12,17:17:03,1.69,1.93
2023-09-12,17:17:18,1.64,1.85
2023-09-12,17:17:43,1.69,1.93
2023-09-12,17:33:29,1.69,1.93
2023-09-12,18:34:11,1.69,1.93
2023-09-12,18:34:57,1.69,1.93
2023-09-12,18:35:23,1.69,1.93
2023-09-12,18:35:59,1.69,1.93
2023-09-12,18:36:06,1.69,1.93
2023-09-12,18:36:10,1.69,1.93
2023-09-12,18:36:33,1.69,1.93
2023-09-12,19:08:22,1.69,1.93
2023-09-12,19:08:38,1.69,1.93
2023-09-12,21:48:58,1.39,1.49
2023-09-12,21:49:04,0.76,0.99
2023-09-12,21:49:21,1.21,2.15
2023-09-12,21:49:38,1.23,2.17
2023-09-12,21:52:00,0.8,1.04
2023-09-12,21:52:23,1.23,2.17
2023-09-12,21:52:53,1.35,2.29
2023-09-12,21:53:10,0.92,1.16
2023-09-12,21:53:21,0.92,1.16
2023-09-12,21:53:29,1.35,2.29
2023-09-12,21:56:58,0.95,1.11
2023-09-12,21:57:35,0.95,1.11
2023-09-12,21:58:35,1,24.17
2023-09-12,21:59:02,1.01,24.17
2023-09-12,22:13:45,1,24.17
2023-09-12,23:02:08,1,25.6
2023-09-12,23:06:18,1,25.6
2023-09-12,23:07:51,1,25.6
2023-09-12,23:08:55,1,25.6
2023-09-12,23:11:31,0.89,1.06
2023-09-12,23:21:34,1.01,25.61
2023-09-12,23:22:33,1.01,25.61
2023-09-12,23:23:27,1.01,25.61
2023-09-12,23:23:37,1.01,25.61
2023-09-12,23:24:19,1.01,25.61
2023-09-12,23:24:51,1.01,25.61
2023-09-12,23:25:03,1.01,25.61
2023-09-12,23:25:14,1.01,25.61
2023-09-12,23:25:54,1.01,25.61
2023-09-13,00:18:10,1.01,25.61
2023-09-13,00:20:05,1.01,25.61
2023-09-13,00:31:34,1.01,25.61
2023-09-13,00:32:04,1.01,25.61
2023-09-13,00:38:15,1.01,25.61
2023-09-13,00:40:58,1.01,25.61
2023-09-13,00:42:48,1.01,25.61
2023-09-13,00:43:50,1.01,25.61
2023-09-13,00:54:14,1.01,25.61
2023-09-13,00:56:24,0.95,1.11
2023-09-13,01:04:04,1,25.6
2023-09-13,01:06:18,0.95,1.11
2023-09-13,01:06:55,0.95,1.11
2023-09-13,01:07:01,0.95,1.11
2023-09-13,01:07:12,0.95,1.11
2023-09-13,01:07:41,0.95,1.11
2023-09-13,01:07:51,0.95,1.11
2023-09-13,01:09:02,0.95,1.11
2023-09-13,01:11:58,1.73,1.92
2023-09-13,01:12:14,1.73,1.92
2023-09-13,01:13:37,1.74,1.93
2023-09-13,01:13:53,1.74,1.93
2023-09-13,01:15:20,1.74,1.93
2023-09-13,01:16:49,1.74,1.93
2023-09-13,01:16:51,1.74,1.93
